ColumnName,Class,NumberUniqueValues,UniqueValues
CountryCode,character,1,US
StateCode,character,1,02
TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,NA - Not Available
TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,NA - Not Available
TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,NA - Not Available
TADA.SuspectCoordinates.Flag,character,2,Pass; Imprecise_lessthan3decimaldigits
TADA.Harmonized.Flag,logical,2,FALSE; TRUE
TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,character,2,NA - Not Available; Numeric
TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,character,2,NA - Not Available; Numeric
TADA.ActivityDepthHeightMeasure.MeasureUnitCode,character,2,NA; m
VerticalMeasure.MeasureUnitCode,character,2,feet; NA
VerticalAccuracyMeasure.MeasureUnitCode,character,2,feet; NA
ProviderName,character,2,NWIS; STORET
TADA.SampleFraction.Flag,character,3,Not Reviewed; Pass; Suspect
TADA.MethodSpeciation.Flag,character,3,Not Reviewed; Pass; Suspect
TADA.WQXResultUnitConversion,character,3,Convert; No Result Value; No Target Unit
TADA.CensoredMethod,character,3,NA; Detection Limit Value Multiplied by 0.5; Detection Limit Value Unchanged
TADA.AnalyticalMethod.Flag,character,3,Not Reviewed; Pass; Suspect
SamplingDesignTypeCode,character,3,"NA; Targeted - A targeted sample is where a ""sample"" of the subject matter; be that people; plants/animals etc is selected using certain criteria; i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.; Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method; you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen."
QAPPApprovedIndicator,character,3,NA; Y; N
ActivityEndTime.TimeZoneCode,character,3,NA; AKDT; AKST
ResultWeightBasisText,character,3,NA; Dry; Sampled
ResultTemperatureBasisText,character,3,NA; 180 deg C; 25 deg C
ActivityStartTime.TimeZoneCode_offset,numeric,3,8; 9; NA
ActivityEndTime.TimeZoneCode_offset,numeric,3,NA; 8; 9
HorizontalAccuracyMeasure.MeasureUnitCode,character,3,seconds; Unknown; NA
VerticalCoordinateReferenceSystemDatumName,character,3,NGVD29; NAVD88; NA
DrainageAreaMeasure.MeasureUnitCode,character,3,sq mi; NA; mi2
HorizontalCoordinateReferenceSystemDatumName,character,4,NAD83; WGS84; OTHER; NAD27
ResultValueTypeName,character,4,Actual; Estimated; Calculated; NA
TADA.ResultValueAboveUpperThreshold.Flag,character,4,Not Reviewed; Pass; Suspect; NA - Not Available
TADA.ResultValueBelowLowerThreshold.Flag,character,4,Not Reviewed; Pass; Suspect; NA - Not Available
ResultTimeBasisText,character,4,NA; 1 Day; 24 Hours; Daily
