ColumnName,Class,NumberUniqueValues,UniqueValues
CountryCode,character,1,US
StateCode,character,1,02
TADA.ResultValueBelowLowerThreshold.Flag,character,1,Not Reviewed
TADA.AggregatedContinuousData.Flag,character,1,Discrete
TADA.ResultValueAboveUpperThreshold.Flag,character,1,Not Reviewed
TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,Blank
TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,Blank
TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,character,1,Blank
TADA.MultipleOrgDuplicate,character,1,N
TADA.MultipleOrgDupGroupID,character,1,Not a duplicate
TADA.ResultSelectedMultipleOrgs,character,1,Y
ResultWeightBasisText,character,2,NA; Dry
ProviderName,character,2,NWIS; STORET
VerticalMeasure.MeasureUnitCode,character,2,feet; NA
VerticalAccuracyMeasure.MeasureUnitCode,character,2,feet; NA
TADA.InvalidCoordinates.Flag,character,2,OK; Imprecise_lessthan3decimaldigits
TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,character,2,Blank; Numeric
TADA.ActivityDepthHeightMeasure.MeasureUnitCode,character,2,NA; m
TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,character,2,Blank; Numeric
TADA.SingleOrgDup.Flag,character,2,Duplicate; Unique
TADA.Harmonized.Flag,logical,2,FALSE; TRUE
ActivityEndTime.TimeZoneCode,character,3,NA; AKDT; AKST
ResultTemperatureBasisText,character,3,NA; 180 deg C; 25 deg C
timeZoneStart,numeric,3,8; 9; NA
timeZoneEnd,numeric,3,NA; 8; 9
DrainageAreaMeasure.MeasureUnitCode,character,3,sq mi; NA; m
HorizontalAccuracyMeasure.MeasureUnitCode,character,3,seconds; Unknown; NA
VerticalCoordinateReferenceSystemDatumName,character,3,NGVD29; NAVD88; NA
SamplingDesignTypeCode,character,3,"NA; Targeted - A targeted sample is where a ""sample"" of the subject matter; be that people; plants/animals etc is selected using certain criteria; i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.; Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method; you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen."
QAPPApprovedIndicator,character,3,NA; N; Y
TADA.CensoredMethod,character,3,NA; Detection Limit Value Multiplied by 0.5; Detection Limit Value Unchanged
TADA.AnalyticalMethod.Flag,character,3,Not Reviewed; Invalid; Valid
TADA.SampleFraction.Flag,character,3,Not Reviewed; Accepted; Rejected
ActivityMediaName,character,4,Water; Other; Sediment; Air
ResultValueTypeName,character,4,Actual; Estimated; Calculated; NA
ResultTimeBasisText,character,4,NA; 1 Day; 24 Hours; Daily
ResultParticleSizeBasisText,character,4,NA; < 0.0625 mm; <0.063 mm; >0.063 mm
