OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
21AKBCH,21AKBCH-AK103349,AK103349,Hoonah Beach-Gartina Harbor Way,58.10583333,-135.4425,1901021109,Garteeni Harbor Way beach,AK_B_1021109_003,Marine,Navigable
21AKBCH,21AKBCH-AK168123,AK168123,Ketchikan - MtnPt Surprise Beach,55.29353,-131.5475,1901010208,Mountain Pt Surprise Beach,AK_B_1010208_002,Beach,Navigable
21AKBCH,21AKBCH-AK212340,AK212340,Ketchikan - Sunset,55.41261,-131.76505,1901010204,Sunset Beach,AK_B_1010204_003,Beach,Navigable
21AKBCH,21AKBCH-AK346845,AK346845,Ketchikan - Mtn Pt Cultural Food,55.29279,-131.53917,1901010208,Mountain Pt Cultural Food Beach,AK_B_1010208_001,Beach,Navigable
21AKBCH,21AKBCH-AK365539,AK365539,Ketchikan - RotaryPool,55.30875,-131.57759,1901010204,Rotary Pool,AK_B_1010204_007,Beach,Navigable
21AKBCH,21AKBCH-AK406019,AK406019,Ketchikan - Knudson,55.47208,-131.79632,1901010203,Knudson Cove Beach,AK_B_1010203_001,Beach,Navigable
21AKBCH,21AKBCH-AK439531,AK439531,Ketchikan - RotaryBeach,55.30982,-131.58028,1901010204,Rotary Park Beach,AK_B_1010204_008,Beach,Navigable
21AKBCH,21AKBCH-AK466549,AK466549,Ketchikan - Shull,55.43544,-131.79851,1901010204,Shull Beach,AK_B_1010204_002,Beach,Navigable
21AKBCH,21AKBCH-AK495900,AK495900,Ketchikan - Seaport,55.31462,-131.5932,1901010204,Seaport Beach,AK_B_1010204_006,Beach,Navigable
21AKBCH,21AKBCH-AK508635,AK508635,Ketchikan - Thomas Basin,55.34125,-131.64179,1901010204,Thomas Basin Harbor,AK_B_1010204_005,Beach,Navigable
21AKBCH,21AKBCH-AK544485,AK544485,Ketchikan - Refuge,55.40739,-131.75549,1901010204,Refuge Cove Beach,AK_B_1010204_004,Beach,Navigable
21AKBCH,21AKBCH-AK549954,AK549954,Ketchikan - Herring,55.32627,-131.52278,1901010205,Herring Cove,AK_B_1010205_001,Beach,Navigable
21AKBCH,21AKBCH-AK551272-002,AK551272-002,North Kenai Beach site 2,60.55057,-151.27206,1902030218,North Kenai Beach,AK_B_2030218_002,Beach,Navigable
21AKBCH,21AKBCH-AK551272-004,AK551272-004,North Kenai Beach site 4,60.54978,-151.26804,1902030218,North Kenai Beach,AK_B_2030218_002,Beach,Navigable
21AKBCH,21AKBCH-AK802097-002,AK802097-002,South Kenai Beach site 2,60.54673,-151.26318,1902030218,South Kenai Beach,AK_B_2030218_003,Beach,Navigable
21AKBCH,21AKBCH-AK802097-003,AK802097-003,South Kenai River Beach 3,60.54332,-151.26532,1902030218,South Kenai Beach,AK_B_2030218_003,Beach,Navigable
21AKBCH,21AKBCH-AK909574,AK909574,Ketchikan - SP Higgins,55.44864,-131.83136,1901010204,South Point Higgins Beach,AK_B_1010204_001,Beach,Navigable
21AKBCH,21AKBCH-AK998211,AK998211,Hoonah Beach-Inner Point Sophia,58.12777778,-135.4627778,1901021109,Cannery Point,AK_B_1021109_001,Marine,Navigable
AKBLM_FDO,AKBLM_FDO-15392000,15392000,Birch Creek Above Twelvemile Creek,65.3925,-145.7125,1908040102,Ikhèenjik River,AK_R_8040102_012_002,River,Unknown
AKDECWQ,AKDECWQ-ANC01_HSLP,ANC01_HSLP,Anchorage 01,61.228485,-149.9029694,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC02_HSLP,ANC02_HSLP,Anchorage 02,61.23608778,-149.8946228,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC03_HSLP,ANC03_HSLP,Anchorage 03,61.24526222,-149.8960003,1902040108,Anchorage Coast Area North,AK_M_2040108_007,Marine,Navigable
AKDECWQ,AKDECWQ-ANC04_HSLP,ANC04_HSLP,Anchorage 04,61.25740444,-149.9255067,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-ANC05_HSLP,ANC05_HSLP,Anchorage 05,61.23899083,-149.9255067,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-ANC06_HSLP,ANC06_HSLP,Anchorage 06,61.22100278,-149.9617919,1902040108,Knik Arm,AK_M_2040108_003,Marine,Navigable
AKDECWQ,AKDECWQ-AnchBact20-01,AnchBact20-01,Campbell Creek,61.177817,-149.825138,1902040106,Campbell Creek,AK_R_2040106_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-02,AnchBact20-02,Campbell Lake - East,61.136146,-149.92546,1902040106,Campbell Lake,AK_L_2040106_003,Lake,Navigable
AKDECWQ,AKDECWQ-AnchBact20-03,AnchBact20-03,Campbell Lake - West,61.130191,-149.956301,1902040106,Campbell Lake,AK_L_2040106_003,Lake,Navigable
AKDECWQ,AKDECWQ-AnchBact20-04,AnchBact20-04,Craig Creek,61.133343,-149.784853,1902040106,Craig Creek,AK_R_2040106_005,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-05,AnchBact20-05,Eagle River,61.310353,-149.576255,1902040103,Eagle River,AK_R_2040103_003_004,River,Navigable
AKDECWQ,AKDECWQ-AnchBact20-06,AnchBact20-06,Fish Creek - N Fork Upper,61.18267,-149.842264,1902040108,Fish Creek,AK_R_2040108_009,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-07,AnchBact20-07,Furrow Creek - Upper,61.108755,-149.842274,1902040107,Furrow Creek,AK_R_2040107_002,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-08,AnchBact20-08,Lake Hood,61.179926,-149.946808,1902040108,Hood/Spenard Lake,AK_L_2040108_063,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-09,AnchBact20-09,Little Rabbit Creek - Upper,61.065216,-149.71607,1902040107,Little Rabbit Creek,AK_R_2040107_003_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-10,AnchBact20-10,Little Survival Creek - Upper,61.06016,-149.746257,1902040107,Little Survival Creek,AK_R_2040107_007,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-11,AnchBact20-11,McHugh Creek,61.017844,-149.731088,1902030207,McHugh Creek,AK_R_2030207_012,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-12,AnchBact20-12,Peters Creek,61.421338,-149.49257,1902040102,Peters Creek,AK_R_2040102_002,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-13,AnchBact20-13,Potter Creek,61.050488,-149.794517,1902040107,Potter Creek,AK_R_2040107_004,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-14,AnchBact20-14,Rabbit Creek,61.08427,-149.825035,1902040107,Rabbit Creek,AK_R_2040107_005,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-15,AnchBact20-15,Rainbow Creek,61.000648,-149.642506,1902030207,Rainbow Creek,AK_R_2030207_018,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-16,AnchBact20-16,Westchester Lagoon - North,61.208092,-149.921283,1902040108,Westchester Lagoon,AK_L_2040108_060,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-17,AnchBact20-17,Westchester Lagoon - South,61.205377,-149.912301,1902040108,Westchester Lagoon,AK_L_2040108_060,Lake,Unknown
AKDECWQ,AKDECWQ-AnchBact20-18,AnchBact20-18,Chester Creek - Mid,61.184617,-149.794537,1902040108,Chester Creek,AK_R_2040108_003,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Cam6,AnchBact20-Cam6,Campbell Creek - Lower,61.139387,-149.92181,1902040106,Campbell Creek,AK_R_2040106_001,River,Unknown
AKDECWQ,AKDECWQ-AnchBact20-Che26,AnchBact20-Che26,University Lake - West,61.184924,-149.803826,1902040108,University Lake,AK_L_2040108_055,Lake,Unknown
